icecream maker,glacier,ثلّاج,صانع الحلويات والمربيات أو بائعها
tax collector,precepteur,جابي,محصل الضرائب ونحوها
cheesemonger,fromager,جبّان,صانع الجبن أو بائعه
surgeon,chirurgien,جرّاح,طبيب متخصص في المعالجات الجراحية
butcher,boucher,جزّار,من يذبح الحيوانات ويعدَّ لحومها للبيع
plasterer,plâtrier,جصّاص,من يعمل في صناعة الجص طلاءً أو زخرفةً
tamer of monkey,dresseur,جعيدي,مربّي القرود والدّببة (مؤسسة)
geographer,géographe,جغرافي,المتخصص في علم الجغرافيا، دراسة الأرض من حيث التضاريس والموارد والتقسيمات
currier,corroyeur,جلّاد,من ينظف الجلود المدبوغة ويلينها ويعدها للاستخدام
customs officer,douanier,جمركي,من يعمل في إدارة الجمارك ويجمع المكوس على البضائع
cameleer,chamelier,جمّال,من يرعى الإبل ويسوقها
gardener,jardinier,جنائني,من يتولى العناية بالحدائق والبساتين وغرس النباتات فيها
jeweller,bijoutier,جواهري,بائع الحلي من المعادن الثمينة والأحجار الكريمة
clothier,drapier,جوخي,صانع الأقمشة الصوفية وبائعها
diamond cutter,diamantaire,جوهري الماس,من يصنع الألماس بقطعه وحكه لإعطائه شكلاً فنياً
weaver,tisserand,حائك,من ينسج بالنول قمشًا
chamberlain,chambellan,حاجب,من يقوم على أبواب الملوك والمحاكم
warden,gardien,حارس,من يتولى مراقبة المحال والبيوت ونحوها ويحفظها من السرقة والتخريب
magistrate,magistrat,حاكم,موظفٌ تؤول إليه الدولة صلاحيات السهر على تطبيق القانون
ropemaker,cordier,حبّال,صانع الحبال من الألياف أو الشعر ونحوه و بائعها
quarrier,carrier,حجّار,من يقطع الصخور بأحجام متنوعة للنحاتين أو البنائين بحسب أنواعها
cupping glasser,poseur de ventouses,حجّام,من يعالج بالحجامة، وهي امتصاص الدم بالمحاجم بغرض المداواة
blacksmith,forgeron,حدّاد,من يعالج الحديد ليصنع منه الأدوات
shoe dealer,chausseur,حذّاء,بائع الأحذية
sylviculturist,sylviculteur,حراجي,المختص بزراعة الأحراج ورعايتها
plowman,laboureur,حرّاث,من حرفته حراثة الأرض وإعدادها للزراعة بالفلاحة ونحوها
guards,garde,حرس,مجموعة من الأفراد مهمتها حراسة الأفراد الرسمية والمؤسسات
artisan,artisan,حرفي,من يمتهن صنعة يدوية بمهارة
packer,emballeur,حزّام,من يقوم بحزم البضائع ولطفها وجمعها في رزمة
upholsterer,Nattier - tapissier,حصري,صانع الحصر أو بائعها
reaper,moissoneur,حصّاد,من يحصد سوق القمح والشعير ونحوهما بقطع سوقها
lumberjack,bûcheron,حطّاب,قاطع الحطب وجامعه أو بائعه
sculptor,sculpteur,حفّار الخشب,نحات الأسطح الخشبية بأشكال فنية
digger,fossoyeur,حفّار القبور,من مهنته إعداد المدافن
milkman,laitier,حلّاب,بائع الحليب أو موزعه
carder,cardeur,حلاّج,من يندف القطن ويستخرج حبه والحرفة الحلاجة
barber,coiffeur,حلّاق,من مهنته قص الشعر وتصفيفه
pastry cook,pâtissier,حلواني,صانع أصناف الحلوى أو بائعها
carrier,porteur,عتّال,من يتولى نقل البضائع بجهد عضلي
coachman,cocher,حوذي,من يقود عربة تجرها الخيول
domestic,domestique,خادم,من يقوم بأعمال الخدمة في المنزل
servant,servante,خادمة,من تستخدم للعمل في بيت أو نحوها
agrologist,agrologue, ﺧبير ﺗﺮﺑﺔ,المختص بدراسة التربة الزراعية
hardware keeper,quincaillier,ﺧُﺮْدَويّ,بائع اللوازم المنزلية الصغيرة والخفيفة
bead maker,fabriquant de verroteries,خرّاز,صانع الخرز أو بائعه
turner,tourneur,ﺧﺮّاط,من حرفته تسوية المعادن أو الأخشاب وتنعيمها في الصناعة
creamist,ceramiste,ﺧﺰّاف,"صانع الآنية الخزفية وبائعها
"
greengrocer,marchand de legumes,ﺧَُﴬيّ,"من يبيع الخضروات والفواكه في دكان أو محل تجاري
"
calligraphist,calligraphe,خطاط,من حرفته الكتابة الفنية بأنواع الخطوط
pickles maker,vinaigrier,مخللاتي,صانع الخل والخراوات المُخَللة وبائعها
innkeeper,cabaretier,خمّار,من يدير الحانة، وهي مكان تقدم فيه المشروبات الروحية ومقبلاتها
tent maker,fabriquant,خيّام,من يصنع الخيام أو يبيعها
tailor,tailleur,خيّاط,من يحترف مهنة الخياطة الرجالية
seamstress,couturière,خيّاطة,من يحترف مهنة الخياطة النسائية
horseman,cavalier,خيّال,من يركب الخيول للتنقل أو التريض
pin maker,épinglier,دبابيسيّ,صانع الدبابيس أو بائعها. والدبوس أداة من معدن عادةً تكون على هيئة المسمر الصغير أو الإبرة.
molasses,fabriquant,دبّاس,ﺻﺎﻧﻊ اﻟﺪﺑﺲ أو ﺑﺎﺋﻌﻪ.
tanner,tanneur,دبّاغ,ﻣﻦ ﻳﺘﻌﺎﻃﻰ حرفة الدباغة وهي معالجة الجلود و إعدادها للاستعمال و البيع
diplomat,diplomate,دبلوماسي,من تعينه دولته ليمثلها لدى دولة أخرى.
gendarme,gendarme,دركي,رجل يمثّل الأمن في المدينة الصغيرة لتطبيق القانون.
real estate agent,agent foncier,دلّال,َمن حرفته التعريف بـم يباع أو يُؤجر لقاء أجر محدّد.
guide,guide,مرشد,َمن يرشد السياح ونحوهم إلى الأماكن التي يريدونها.
archbishop,archevêque,رئيس الاساقفة,رتبة دينية عليا في الكنيسة.
astronaut,astronaute,رائد فضاء,َمن يقوم برحلة علمية في مركبة فضائية خارج نطاق الجاذبية الأرضية.
jockey,jockey,ركيض,َمن يمتهن ركوب الخيل في السباقات.
